ID,Title,Author,Length,URL,Year,Approach
video058,New Robotic-Assisted Prostatectomy Technique- February 2016,AdventHealth Global Robotics Institute,4322.604,http://dg1fmc8qbela5.cloudfront.net/video058.mp4,2016,anterior
video059,Non Nerve Sparing Robotic Prostatectomy (Posterior Approach) by Dr. K. Ramesh,Chennai Urology - Dr. K. Ramesh | Urologist | Robotic Surgeon,1597.138141,http://dg1fmc8qbela5.cloudfront.net/video059.mp4,2015,posterior
video062,Pelvic lymph node dissection during Robotic radical prostatectomy | Full step | Dr Lucas Burttet,Dr. Lucas Burttet - Urologia / Cirurgia Robótica,2764.382041,http://dg1fmc8qbela5.cloudfront.net/video062.mp4,2021,anterior
video063,Prostatectomia Radical Robotica ao vivo - Curso Internacional Cirurgia Robotica - Dr Rafael Coelho,Dr. Rafael Coelho - Urologia,3471.569,http://dg1fmc8qbela5.cloudfront.net/video063.mp4,2020,anterior
video064,Prostatectomie Totale Robot LIVE Nicolas DOUMERC,Nicolas DOUMERC,8250.769705,http://dg1fmc8qbela5.cloudfront.net/video064.mp4,2016,anterior
video065,Retzius Sparing Robot Assisted Radical Prostatectomy (Posterior Approach) by Dr. Tae Young Shin,the shinergizer,7017.674014,http://dg1fmc8qbela5.cloudfront.net/video065.mp4,2017,posterior
video066,Robot Assisted Radical Prostatectomy,"Joseph Pettus, M.D.",2315.099138,http://dg1fmc8qbela5.cloudfront.net/video066.mp4,2015,anterior
video067,Robot Assisted Radical Prostatectomy - Nerve Sparing,Robotic Surgery Academy,2960.846077,http://dg1fmc8qbela5.cloudfront.net/video067.mp4,2020,anterior
video068,Robot Assisted Radical Prostatectomy RARP,Medline Health,10623.269,http://dg1fmc8qbela5.cloudfront.net/video068.mp4,2019,anterior
video069,Robot-assisted radical prostatectomy,Teck Wei Tan,5578.849524,http://dg1fmc8qbela5.cloudfront.net/video069.mp4,2020,posterior
video071,Robotic Assisted Laparoscopic Radical Prostatectomy | Brigham and Women's Hospital,Brigham And Women's Hospital,1567.486259,http://dg1fmc8qbela5.cloudfront.net/video071.mp4,2018,anterior
